,region,province,zip_code,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
6900,Flanders,East Flanders,9810,HOUSE,HOUSE,289000.0,2.0,110.0,NOT_INSTALLED,0,0,1,0.0,0,0.0,464.0,4.0,0,TO_RENOVATE
6902,Flanders,East Flanders,9000,HOUSE,MANSION,1395000.0,5.0,295.0,HYPER_EQUIPPED,0,1,0,0.0,1,108.0,203.0,2.0,0,AS_NEW
6903,Wallonie,Namur,5100,HOUSE,HOUSE,290000.0,3.0,120.0,USA_SEMI_EQUIPPED,0,0,0,0.0,1,650.0,1273.0,4.0,0,TO_RENOVATE
6904,Flanders,East Flanders,9130,HOUSE,HOUSE,396000.0,4.0,209.51537287396425,SEMI_EQUIPPED,0,0,1,0.0,1,0.0,334.0,3.0,0,GOOD
6905,Wallonie,Luxembourg,6640,HOUSE,HOUSE,465000.0,3.0,288.0,NOT_INSTALLED,0,0,1,0.0,0,0.0,4024.0,4.0,0,0
6906,Flanders,West Flanders,8430,HOUSE,HOUSE,169000.0,4.0,115.0,HYPER_EQUIPPED,0,0,0,0.0,0,0.0,92.0,2.0,0,AS_NEW
6907,Wallonie,Luxembourg,6880,HOUSE,HOUSE,189000.0,3.0,100.0,SEMI_EQUIPPED,0,0,0,0.0,1,0.0,276.0,3.0,0,GOOD
6908,Wallonie,Luxembourg,6997,HOUSE,HOUSE,259000.0,3.0,137.0,HYPER_EQUIPPED,0,0,1,24.0,1,337.0,430.0,2.0,0,GOOD
6909,Flanders,West Flanders,8400,HOUSE,HOUSE,339000.0,3.0,153.0,INSTALLED,0,0,1,25.0,1,80.0,180.0,2.0,0,AS_NEW
6910,Wallonie,Luxembourg,6830,HOUSE,HOUSE,360000.0,4.0,173.0,INSTALLED,0,0,1,0.0,0,0.0,1480.0,4.0,0,0
6911,Flanders,Antwerp,2811,HOUSE,HOUSE,369000.0,3.0,140.0,INSTALLED,0,0,1,24.0,1,0.0,0.0,1.0,0,AS_NEW
6912,Wallonie,Liège,4800,HOUSE,VILLA,399000.0,4.0,168.0,INSTALLED,0,0,1,30.0,1,500.0,1107.0,4.0,1,GOOD
6913,Wallonie,Namur,5101,HOUSE,HOUSE,425000.0,3.0,204.0,USA_INSTALLED,0,1,1,40.0,1,2077.0968679067573,5135.0,4.0,0,0
6914,Flanders,Antwerp,2660,HOUSE,HOUSE,435000.0,4.0,166.0,HYPER_EQUIPPED,0,0,1,24.0,1,83.0,175.0,2.0,0,JUST_RENOVATED
6915,Brussels,Brussels,1210,HOUSE,HOUSE,513000.0,3.0,209.51537287396425,INSTALLED,0,0,1,8.0,1,19.0,0.0,3.0,0,JUST_RENOVATED
6917,Wallonie,Walloon Brabant,1320,HOUSE,MANSION,599999.0,5.0,240.0,INSTALLED,0,1,1,30.0,1,475.0,1000.0,3.0,0,GOOD
6918,Flanders,West Flanders,8800,HOUSE,VILLA,845000.0,4.0,226.0,HYPER_EQUIPPED,0,0,0,0.0,1,0.0,6720.0,1.0,0,0
6919,Brussels,Brussels,1200,HOUSE,HOUSE,1035000.0,4.0,226.0,USA_HYPER_EQUIPPED,0,0,1,8.0,1,47.0,119.0,2.0,0,AS_NEW
6921,Wallonie,Luxembourg,6927,HOUSE,CHALET,65000.0,2.0,27.0,NOT_INSTALLED,1,0,1,0.0,0,0.0,307.0,4.0,0,TO_RENOVATE
6922,Flanders,West Flanders,8600,HOUSE,HOUSE,189000.0,3.0,142.0,INSTALLED,0,0,0,0.0,0,0.0,292.0,1.0,0,GOOD
6923,Flanders,West Flanders,8970,HOUSE,VILLA,595000.0,5.0,308.0,INSTALLED,0,0,1,9.0,1,0.0,1739.0,1.0,0,GOOD
6924,Flanders,Flemish Brabant,1930,HOUSE,HOUSE,895000.0,7.0,540.0,HYPER_EQUIPPED,0,0,1,30.0,0,0.0,2700.0,4.0,0,AS_NEW
6925,Wallonie,Hainaut,6040,HOUSE,HOUSE,129000.0,2.0,111.0,SEMI_EQUIPPED,0,0,0,0.0,1,110.0,200.0,2.0,0,TO_BE_DONE_UP
6926,Wallonie,Liège,4681,HOUSE,HOUSE,180000.0,3.0,145.0,NOT_INSTALLED,0,0,1,0.0,1,0.0,425.0,3.0,0,0
6927,Flanders,West Flanders,8500,HOUSE,HOUSE,229000.0,3.0,160.0,NOT_INSTALLED,0,0,1,22.0,1,33.0,175.0,2.0,0,GOOD
6928,Wallonie,Namur,5500,HOUSE,APARTMENT_BLOCK,235000.0,3.0,130.0,INSTALLED,0,0,0,0.0,0,0.0,58.0,2.0,0,TO_BE_DONE_UP
6929,Flanders,East Flanders,9620,HOUSE,HOUSE,249000.0,3.0,221.0,INSTALLED,0,0,1,0.0,1,0.0,604.0,4.0,0,TO_BE_DONE_UP
6930,Flanders,Limburg,3620,APARTMENT,APARTMENT,409000.0,2.0,149.0,NOT_INSTALLED,0,0,1,0.0,1,0.0,0.0,2.0,0,GOOD
6931,Flanders,Limburg,3630,HOUSE,HOUSE,249000.0,3.0,99.0,NOT_INSTALLED,0,0,0,0.0,1,0.0,395.0,1.0,0,GOOD
6932,Flanders,Limburg,3620,HOUSE,HOUSE,529000.0,4.0,190.0,NOT_INSTALLED,0,0,1,0.0,1,0.0,900.0,1.0,1,GOOD
6933,Flanders,Limburg,3730,HOUSE,HOUSE,249000.0,3.0,198.0,NOT_INSTALLED,0,0,0,0.0,1,0.0,1434.0,1.0,0,TO_RENOVATE
6934,Flanders,Limburg,3620,HOUSE,HOUSE,399000.0,3.0,170.0,NOT_INSTALLED,0,0,1,0.0,1,0.0,0.0,1.0,0,GOOD
6935,Flanders,Limburg,3665,HOUSE,HOUSE,529000.0,5.0,277.0,NOT_INSTALLED,0,0,0,0.0,1,0.0,1327.0,1.0,0,GOOD
6936,Flanders,Limburg,3620,APARTMENT,APARTMENT,135000.0,3.0,75.0,NOT_INSTALLED,0,0,0,0.0,1,5.0,0.0,2.0,0,GOOD
